Rollup,Checked?,Client,Repo,parent,open source geth?,OP Stack Badge?,Superchain Infra Badge?,Conduit?,AggLayer?,Orbit?,Nitro?,Caldera?,AltLayer?,Alchemy RaaS?,Zeeve,Gelato?,Commits Behind Parent,Commits Ahead of Parent,Notes,Endpoint,Version
X Layer,TRUE,Geth,https://github.com/okx/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,82,,https://rpc.xlayer.tech,Geth/rpc-out/v0.0.6-stable-717a6ab1/linux-amd64/go1.24.4
Mantle,TRUE,Geth,https://github.com/mantlenetworkio/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,161,825,OP-Geth is listed; there is an ignored public archive of Geth directly.,https://rpc.mantle.xyz,
Shibarium,TRUE,bor,https://github.com/shibaone/go-ethereum,https://github.com/streamingfast/go-ethereum,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,333,0,Fork of geth that has been customized,https://rpc.shibrpc.com,bor/v1.3.9-bone/linux-arm64/go1.22.11
HashKey Chain,TRUE,Geth,https://github.com/HashKeyChain/verse-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,367,4,,https://mainnet.hsk.xyz,
Celo,TRUE,Geth,https://github.com/celo-org/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,370,101,,https://forno.celo.org,
Hemi,TRUE,Geth,https://github.com/hemilabs/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,591,98,,https://rpc.hemi.network/rpc,
LightLink*,TRUE,Geth,https://github.com/lightlink-network/ll-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,595,0,Not maintained?,https://replicator.phoenix.lightlink.io/rpc/v1,
Redstone,TRUE,Geth,https://github.com/latticexyz/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,598,0,,https://rpc.redstonechain.com,
Boba,TRUE,Geth,https://github.com/bobanetwork/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,604,116,,https://mainnet.boba.network,
Ink,TRUE,Geth,https://github.com/inkonchain/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,604,2,,https://rpc-gel.inkonchain.com,
Polynomial,TRUE,Geth,https://github.com/Polynomial-Protocol/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1082,0,,https://rpc.polynomial.fi,
Derive,TRUE,Geth,https://github.com/derivexyz/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1235,7,,https://rpc.lyra.finance,
Facet Bluebird,TRUE,Geth,https://github.com/0xFacet/facet-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1241,133,,,
Settlus,TRUE,Geth,https://github.com/settlus/go-ethereum,https://github.com/ethereum/go-ethereum,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1452,1,Geth is a public archived,https://settlus-mainnet.g.alchemy.com/public,
Taiko Alethia,TRUE,Geth,https://github.com/taikoxyz/taiko-geth,https://github.com/ethereum/go-ethereum,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1564,169,,https://rpc.taiko.xyz,
Metal,TRUE,Geth,https://github.com/MetalPay/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1736,0,,https://rpc.metall2.com,
Epic Chain,TRUE,Geth,https://github.com/epiconchain/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2013,0,,,
Base Chain,TRUE,Geth,https://github.com/base/op-geth,https://github.com/ethereum-optimism/op-geth,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2041,0,Presumably replaced by Reth,https://mainnet.base.org,
Plume Network,TRUE,Geth,https://github.com/plumenetwork/plume-go-ethereum,https://github.com/OffchainLabs/go-ethereum,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2696,2,,https://rpc.plume.org,
Polygon PoS,TRUE,Geth,https://github.com/maticnetwork/go-ethereum,https://github.com/ethereum/go-ethereum,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3370,0,Public archive. Actually MATIC and not BOR based,https://rpc-amoy.polygon.technology/,
Scroll,TRUE,Geth,https://github.com/scroll-tech/go-ethereum,https://github.com/ethereum/go-ethereum,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3586,614,,https://rpc.scroll.io,Geth/v5.10.0-mainnet/linux-amd64/go1.22.12
Polygon zkEVM,TRUE,Geth,https://github.com/0xPolygon/cdk-erigon,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"Presumably a fork of geth, but GitHub does not report it is a forked repo. Manual investigation necessary.",https://zkevm-rpc.com,
